WorldSize,Run,ActualTime
2,0,1.3006765842437744
4,0,1.4821159839630127
6,0,1.5666041374206543
8,0,1.8244519233703613
10,0,2.651923179626465
12,0,2.7560596466064453
14,0,2.8214452266693115
16,0,3.0188097953796387
2,1,1.318660020828247
4,1,1.4767401218414307
6,1,1.551201581954956
8,1,1.8242247104644775
10,1,2.815175771713257
12,1,2.7875349521636963
14,1,2.6900227069854736
16,1,2.9060306549072266
2,2,1.3303911685943604
4,2,1.5205707550048828
6,2,1.6374084949493408
8,2,1.727043867111206
10,2,2.776304244995117
12,2,2.867478847503662
14,2,2.7892520427703857
16,2,3.059666872024536
2,3,1.316744327545166
4,3,1.509899377822876
6,3,1.5766303539276123
8,3,1.7922968864440918
10,3,3.0703768730163574
12,3,2.9876925945281982
14,3,2.6913206577301025
16,3,2.9684088230133057
2,4,1.337737798690796
4,4,1.4962162971496582
6,4,1.596050500869751
8,4,1.8612620830535889
10,4,2.687384843826294
12,4,2.823078155517578
14,4,2.8163084983825684
16,4,2.952660322189331
