WorldSize,Run,ActualTime
2,0,17.950014114379883
4,0,10.292688369750977
6,0,12.9479079246521
8,0,12.045936822891235
10,0,11.777157545089722
12,0,11.92081332206726
14,0,11.86931300163269
16,0,11.799824714660645
2,1,17.989519357681274
4,1,10.237369537353516
6,1,12.907056093215942
8,1,12.199209213256836
10,1,11.709601402282715
12,1,12.070431232452393
14,1,10.396161794662476
16,1,11.668048858642578
2,2,17.878674268722534
4,2,10.290180921554565
6,2,13.326467990875244
8,2,12.26327657699585
10,2,11.687624454498291
12,2,11.423378944396973
14,2,10.90947675704956
16,2,11.649436712265015
2,3,18.052199602127075
4,3,10.284363985061646
6,3,12.928906202316284
8,3,12.500142574310303
10,3,11.51399564743042
12,3,11.42465090751648
14,3,11.132980346679688
16,3,12.068653583526611
2,4,17.936007976531982
4,4,10.213274478912354
6,4,12.915429830551147
8,4,11.761768579483032
10,4,11.291627645492554
12,4,11.778459787368774
14,4,10.494813919067383
16,4,12.487107038497925
