WorldSize,Run,ActualTime
2,0,5.06306004524231
4,0,2.742102861404419
6,0,2.8263349533081055
8,0,2.7286407947540283
10,0,5.68834662437439
12,0,5.895431995391846
14,0,5.997303009033203
16,0,7.568700551986694
2,1,4.815793514251709
4,1,2.8279168605804443
6,1,2.8087923526763916
8,1,2.544917583465576
10,1,5.357943296432495
12,1,5.9433653354644775
14,1,6.439666748046875
16,1,7.5846569538116455
2,2,4.870222091674805
4,2,2.8053648471832275
6,2,2.9146316051483154
8,2,2.6600706577301025
10,2,5.780741214752197
12,2,5.965420722961426
14,2,6.76208758354187
16,2,7.517779111862183
2,3,4.909365892410278
4,3,2.8190712928771973
6,3,2.8729705810546875
8,3,2.752438545227051
10,3,5.8181586265563965
12,3,6.0327372550964355
14,3,6.223717927932739
16,3,7.460334300994873
2,4,4.90281867980957
4,4,2.795665979385376
6,4,2.900256872177124
8,4,2.7458693981170654
10,4,5.834019660949707
12,4,5.943347692489624
14,4,6.297256708145142
16,4,7.490770578384399
