WorldSize,Run,Time
2,0,152.91
2,1,153.02
2,2,152.84
3,0,104.87
3,1,104.89
3,2,104.88
4,0,80.08
4,1,81.13
4,2,80.13
5,0,89.88
5,1,90.54
5,2,90.18
6,0,78.32
6,1,77.97
6,2,78.05
7,0,73.86
7,1,73.84
7,2,73.93
8,0,67.68
8,1,67.46
8,2,67.60
9,0,75.92
9,1,76.42
9,2,75.47
10,0,76.71
10,1,76.14
10,2,76.63
11,0,84.14
11,1,83.91
11,2,83.84
12,0,93.51
12,1,93.87
12,2,93.18
13,0,105.23
13,1,106.09
13,2,105.84
14,0,114.37
14,1,115.00
14,2,115.84
15,0,125.84
15,1,125.12
15,2,126.61
16,0,142.10
16,1,142.68
16,2,138.43
