TimeStampSecs,NumIdleCores
0,126
1,124
2,124
3,121
4,114
5,113
6,110
7,104
8,98
9,94
10,90
11,89
12,88
13,81
14,77
15,71
16,68
17,68
18,68
19,68
20,68
21,68
22,68
23,68
24,68
25,68
26,68
27,68
28,68
29,68
30,68
31,68
32,68
33,68
34,68
35,68
36,68
37,68
38,68
39,68
40,68
41,68
42,68
43,68
44,68
45,68
46,68
47,68
48,68
49,74
50,80
51,77
52,77
53,78
54,78
55,77
56,77
57,83
58,83
59,83
60,79
61,79
62,86
63,86
64,86
65,83
66,83
67,83
68,83
69,83
70,83
71,87
72,87
73,87
74,84
75,84
76,84
77,85
78,85
79,84
80,84
81,84
82,87
83,87
84,87
85,88
86,88
87,88
88,81
89,81
90,81
91,81
92,81
93,81
94,81
95,87
96,87
97,87
98,86
99,86
100,86
101,86
102,89
103,89
104,84
105,84
106,84
107,84
108,84
109,84
110,84
111,84
112,84
113,91
114,91
115,87
116,87
117,87
118,87
119,87
120,93
121,95
122,93
123,93
124,91
125,98
126,91
127,91
128,88
129,88
130,88
131,91
132,91
133,91
134,85
135,85
136,85
137,85
138,85
139,85
140,85
141,85
142,85
143,85
144,85
145,85
146,88
147,88
148,87
149,87
150,87
151,87
152,87
153,87
154,87
155,87
156,92
157,95
158,92
159,92
160,91
161,91
162,91
163,98
164,98
165,98
166,97
167,97
168,97
169,97
170,97
171,97
172,97
173,97
174,97
175,97
176,107
177,107
178,107
179,105
180,105
181,103
182,103
183,103
184,103
185,103
186,103
187,103
188,103
189,103
190,103
191,103
192,103
193,103
194,103
195,103
196,103
197,103
198,103
199,103
200,103
201,103
202,103
203,105
204,105
205,105
206,101
207,101
208,104
209,104
210,102
211,102
212,102
213,102
214,102
215,102
216,102
217,102
218,102
219,102
220,102
221,102
222,102
223,102
224,102
225,102
226,102
227,102
228,102
229,102
230,102
231,102
232,102
233,102
234,102
235,102
236,102
237,102
238,106
239,106
240,104
241,106
242,105
243,107
244,100
245,102
246,95
247,95
248,93
249,93
250,86
251,86
252,86
253,86
254,86
255,86
256,86
257,86
258,86
259,86
260,86
261,86
262,86
263,86
264,86
265,86
266,90
267,90
268,90
269,89
270,89
271,89
272,89
273,89
274,89
275,89
276,89
277,89
278,89
279,89
280,89
281,89
282,96
283,96
284,97
285,97
286,97
287,97
288,104
289,104
290,105
291,105
292,105
293,105
294,105
295,105
296,105
297,107
298,107
299,107
300,107
301,109
302,109
303,109
304,109
305,109
306,109
307,109
308,109
309,109
310,109
311,109
312,109
313,109
314,110
315,110
316,110
317,110
318,110
319,110
320,110
321,110
322,110
323,110
324,110
325,110
326,116
327,116
328,116
329,118
330,119
331,119
332,119
333,119
334,119
335,119
336,119
337,119
338,119
339,119
340,119
341,119
342,119
343,119
344,119
345,119
346,119
347,119
348,119
349,119
350,119
351,119
352,119
353,119
354,119
355,119
356,119
357,119
358,119
359,121
360,121
361,121
362,121
363,121
364,121
365,121
366,121
367,123
368,123
369,123
370,123
371,123
372,123
373,123
374,123
375,123
376,123
377,123
378,123
379,123
380,123
381,123
382,124
383,124
384,124
385,124
386,124
387,124
388,124
389,124
390,124
391,124
392,124
393,125
394,125
395,125
396,125
397,125
398,125
399,126
400,126
401,126
402,126
403,126
404,126
405,126
406,126
407,126
408,126
409,126
410,126
411,126
412,126
413,126
414,126
415,126
416,126
417,126
418,126
419,126
420,126
421,126
422,126
423,126
424,126
425,126
426,126
427,126
428,126
429,126
430,126
431,126
432,126
433,126
434,126
435,126
436,126
437,126
438,126
439,126
440,126
441,126
442,126
443,126
444,126
445,126
446,126
447,126
448,126
449,126
450,126
451,126
452,126
453,126
454,126
455,126
456,126
457,126
458,126
459,126
460,126
461,126
462,126
463,126
464,126
465,126
466,126
467,126
468,126
469,126
470,126
471,126
472,126
473,126
474,126
475,127
476,127
477,127
478,127
479,127
480,127
481,127
482,127
483,127
484,127
485,127
486,127
487,127
488,127
489,127
490,127
491,127
492,127
493,127
494,127
495,127
496,127
497,127
498,127
499,127
500,127
