TimeStampSecs,NumIdleCores
0,248
1,235
2,235
3,233
4,228
5,224
6,213
7,205
8,184
9,184
10,179
11,174
12,155
13,155
14,150
15,145
16,134
17,120
18,118
19,116
20,106
21,96
22,92
23,87
24,87
25,87
26,87
27,87
28,87
29,87
30,87
31,87
32,87
33,87
34,87
35,87
36,87
37,87
38,87
39,87
40,87
41,87
42,87
43,87
44,87
45,87
46,87
47,87
48,87
49,87
50,87
51,87
52,87
53,87
54,87
55,87
56,87
57,87
58,87
59,87
60,87
61,87
62,87
63,87
64,87
65,87
66,87
67,87
68,87
69,87
70,87
71,87
72,87
73,87
74,87
75,87
76,87
77,87
78,87
79,87
80,87
81,87
82,87
83,87
84,87
85,87
86,87
87,87
88,87
89,87
90,87
91,87
92,87
93,87
94,87
95,87
96,87
97,87
98,87
99,87
100,87
101,87
102,87
103,87
104,87
105,87
106,87
107,87
108,87
109,87
110,87
111,87
112,87
113,87
114,87
115,87
116,87
117,87
118,87
119,87
120,87
121,87
122,87
123,87
124,87
125,87
126,87
127,87
128,87
129,87
130,87
131,87
132,87
133,100
134,100
135,100
136,88
137,88
138,88
139,88
140,102
141,115
142,111
143,111
144,96
145,96
146,96
147,96
148,96
149,107
150,107
151,107
152,95
153,87
154,87
155,87
156,87
157,87
158,87
159,87
160,98
161,98
162,98
163,89
164,89
165,89
166,89
167,89
168,89
169,89
170,89
171,89
172,89
173,89
174,99
175,99
176,99
177,94
178,90
179,90
180,90
181,99
182,109
183,107
184,107
185,100
186,98
187,98
188,94
189,94
190,94
191,94
192,94
193,102
194,102
195,102
196,91
197,91
198,91
199,91
200,91
201,91
202,99
203,107
204,105
205,105
206,105
207,105
208,105
209,105
210,105
211,105
212,105
213,105
214,105
215,105
216,105
217,105
218,105
219,105
220,105
221,105
222,105
223,105
224,105
225,105
226,105
227,105
228,105
229,105
230,105
231,105
232,105
233,105
234,105
235,105
236,105
237,105
238,105
239,105
240,105
241,105
242,105
243,109
244,109
245,109
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,115
260,115
261,115
262,108
263,108
264,103
265,103
266,103
267,103
268,103
269,103
270,103
271,115
272,115
273,105
274,105
275,105
276,105
277,105
278,105
279,105
280,105
281,105
282,117
283,117
284,117
285,113
286,113
287,113
288,113
289,113
290,113
291,113
292,113
293,113
294,113
295,113
296,113
297,113
298,113
299,113
300,113
301,113
302,113
303,113
304,113
305,113
306,118
307,123
308,112
309,117
310,117
311,122
312,134
313,126
314,126
315,121
316,126
317,124
318,124
319,112
320,112
321,112
322,112
323,112
324,112
325,112
326,112
327,112
328,112
329,112
330,112
331,112
332,112
333,121
334,121
335,121
336,110
337,117
338,117
339,115
340,113
341,113
342,113
343,113
344,121
345,121
346,121
347,121
348,121
349,121
350,121
351,121
352,121
353,121
354,121
355,121
356,121
357,121
358,121
359,121
360,121
361,121
362,121
363,121
364,121
365,121
366,121
367,121
368,121
369,121
370,121
371,121
372,121
373,121
374,121
375,121
376,121
377,121
378,121
379,121
380,121
381,121
382,125
383,125
384,112
385,112
386,112
387,112
388,112
389,112
390,112
391,112
392,112
393,112
394,112
395,112
396,112
397,112
398,112
399,112
400,112
401,119
402,119
403,119
404,119
405,119
406,119
407,130
408,130
409,121
410,121
411,121
412,121
413,121
414,121
415,121
416,121
417,134
418,134
419,124
420,124
421,112
422,112
423,112
424,112
425,116
426,116
427,116
428,116
429,116
430,116
431,116
432,116
433,116
434,116
435,116
436,116
437,116
438,116
439,116
440,116
441,126
442,126
443,115
444,111
445,111
446,111
447,111
448,123
449,123
450,123
451,109
452,109
453,109
454,109
455,109
456,120
457,120
458,114
459,114
460,114
461,114
462,116
463,116
464,101
465,101
466,101
467,101
468,101
469,101
470,101
471,103
472,103
473,98
474,98
475,105
476,105
477,105
478,91
479,102
480,102
481,102
482,92
483,92
484,92
485,92
486,92
487,92
488,92
489,92
490,92
491,92
492,92
493,92
494,92
495,92
496,92
497,92
498,92
499,92
500,92
501,92
502,92
503,92
504,92
505,92
506,100
507,100
508,100
509,100
510,100
511,100
512,100
513,100
514,100
515,100
516,100
517,113
518,113
519,113
520,108
521,108
522,108
523,99
524,99
525,99
526,99
527,99
528,99
529,99
530,99
531,99
532,99
533,99
534,99
535,99
536,99
537,99
538,99
539,99
540,99
541,99
542,99
543,99
544,99
545,99
546,99
547,99
548,99
549,99
550,99
551,99
552,99
553,99
554,99
555,99
556,99
557,111
558,111
559,101
560,101
561,101
562,101
563,101
564,115
565,115
566,115
567,105
568,105
569,105
570,110
571,110
572,102
573,106
574,106
575,106
576,106
577,106
578,106
579,121
580,121
581,121
582,118
583,127
584,127
585,118
586,118
587,106
588,106
589,117
590,117
591,117
592,103
593,117
594,117
595,117
596,103
597,99
598,99
599,99
600,99
601,99
602,99
603,99
604,99
605,99
606,99
607,99
608,99
609,99
610,104
611,104
612,104
613,98
614,98
615,98
616,103
617,103
618,103
619,101
620,101
621,101
622,101
623,101
624,101
625,101
626,101
627,101
628,101
629,101
630,101
631,101
632,101
633,101
634,101
635,101
636,101
637,101
638,101
639,101
640,101
641,101
642,111
643,111
644,113
645,104
646,104
647,104
648,104
649,104
650,104
651,104
652,104
653,104
654,106
655,106
656,106
657,94
658,94
659,94
660,94
661,94
662,94
663,94
664,94
665,94
666,94
667,94
668,94
669,94
670,94
671,94
672,94
673,94
674,94
675,94
676,94
677,94
678,94
679,98
680,98
681,98
682,98
683,98
684,98
685,98
686,98
687,98
688,98
689,98
690,98
691,98
692,98
693,107
694,107
695,95
696,96
697,96
698,96
699,89
700,89
701,89
702,89
703,89
704,89
705,89
706,89
707,89
708,89
709,89
710,89
711,103
712,103
713,103
714,99
715,126
716,111
717,111
718,109
719,103
720,103
721,101
722,101
723,101
724,87
725,87
726,87
727,97
728,107
729,107
730,105
731,105
732,91
733,91
734,91
735,91
736,91
737,91
738,91
739,91
740,91
741,91
742,91
743,91
744,91
745,91
746,91
747,91
748,91
749,91
750,91
751,91
752,91
753,91
754,91
755,91
756,91
757,91
758,100
759,100
760,100
761,89
762,87
763,87
764,87
765,87
766,87
767,89
768,89
769,92
770,92
771,89
772,89
773,94
774,94
775,91
776,91
777,91
778,91
779,91
780,91
781,91
782,91
783,91
784,91
785,91
786,91
787,91
788,103
789,103
790,103
791,96
792,96
793,96
794,96
795,96
796,96
797,98
798,98
799,86
800,86
801,86
802,86
803,86
804,86
805,86
806,86
807,86
808,86
809,86
810,86
811,86
812,86
813,86
814,86
815,86
816,86
817,86
818,95
819,95
820,95
821,82
822,82
823,82
824,82
825,82
826,82
827,94
828,94
829,84
830,99
831,99
832,99
833,85
834,80
835,80
836,80
837,80
838,80
839,80
840,80
841,80
842,80
843,94
844,108
845,108
846,107
847,107
848,104
849,101
850,101
851,86
852,86
853,86
854,86
855,86
856,86
857,86
858,86
859,92
860,92
861,92
862,92
863,92
864,92
865,92
866,92
867,92
868,92
869,92
870,92
871,92
872,92
873,92
874,92
875,92
876,92
877,92
878,92
879,92
880,92
881,92
882,92
883,92
884,92
885,92
886,102
887,102
888,90
889,90
890,90
891,98
892,98
893,98
894,88
895,88
896,88
897,88
898,88
899,88
900,88
901,88
902,88
903,88
904,88
905,99
906,99
907,99
908,85
909,85
910,85
911,85
912,85
913,85
914,85
915,92
916,92
917,92
918,92
919,92
920,92
921,92
922,92
923,92
924,92
925,92
926,92
927,92
928,92
929,92
930,92
931,92
932,92
933,104
934,104
935,104
936,94
937,92
938,92
939,92
940,92
941,92
942,92
943,106
944,106
945,106
946,91
947,91
948,91
949,91
950,104
951,104
952,118
953,103
954,103
955,98
956,96
957,111
958,111
959,111
960,96
961,96
962,120
963,120
964,120
965,114
966,111
967,111
968,97
969,103
970,103
971,103
972,103
973,103
974,103
975,103
976,103
977,103
978,103
979,103
980,103
981,103
982,103
983,103
984,103
985,103
986,103
987,103
988,103
989,103
990,103
991,103
992,103
993,103
994,103
995,103
996,103
997,103
998,103
999,103
1000,103
1001,103
1002,103
1003,103
1004,103
1005,103
1006,103
1007,103
1008,103
1009,103
1010,103
1011,103
1012,103
1013,103
1014,103
1015,103
1016,103
1017,103
1018,103
1019,115
1020,115
1021,115
1022,100
1023,100
1024,114
1025,114
1026,114
1027,101
1028,94
1029,94
1030,94
1031,94
1032,94
1033,94
1034,94
1035,94
1036,94
1037,94
1038,94
1039,94
1040,94
1041,94
1042,94
1043,94
1044,94
1045,94
1046,94
1047,94
1048,94
1049,94
1050,94
1051,94
1052,94
1053,94
1054,94
1055,109
1056,109
1057,98
1058,98
1059,98
1060,98
1061,98
1062,98
1063,113
1064,123
1065,109
1066,114
1067,105
1068,120
1069,120
1070,110
1071,110
1072,110
1073,110
1074,112
1075,112
1076,102
1077,102
1078,102
1079,102
1080,102
1081,102
1082,102
1083,102
1084,102
1085,102
1086,102
1087,102
1088,102
1089,102
1090,116
1091,116
1092,116
1093,117
1094,117
1095,117
1096,115
1097,125
1098,125
1099,125
1100,114
1101,108
1102,108
1103,108
1104,108
1105,108
1106,108
1107,108
1108,108
1109,108
1110,108
1111,108
1112,108
1113,108
1114,108
1115,108
1116,108
1117,108
1118,108
1119,108
1120,108
1121,108
1122,108
1123,108
1124,108
1125,108
1126,108
1127,108
1128,108
1129,108
1130,108
1131,113
1132,113
1133,113
1134,111
1135,126
1136,126
1137,126
1138,119
1139,112
1140,112
1141,112
1142,112
1143,112
1144,112
1145,112
1146,112
1147,112
1148,112
1149,112
1150,112
1151,112
1152,112
1153,112
1154,112
1155,112
1156,112
1157,125
1158,125
1159,112
1160,115
1161,115
1162,115
1163,107
1164,110
1165,110
1166,104
1167,104
1168,104
1169,106
1170,106
1171,106
1172,106
1173,106
1174,106
1175,106
1176,106
1177,106
1178,106
1179,106
1180,106
1181,120
1182,120
1183,120
1184,106
1185,106
1186,108
1187,108
1188,108
1189,97
1190,97
1191,97
1192,97
1193,97
1194,97
1195,97
1196,97
1197,97
1198,97
1199,108
1200,108
1201,93
1202,93
1203,93
1204,93
1205,93
1206,93
1207,93
1208,93
1209,99
1210,99
1211,99
1212,99
1213,101
1214,101
1215,91
1216,91
1217,91
1218,91
1219,91
1220,91
1221,91
1222,91
1223,91
1224,91
1225,91
1226,91
1227,91
1228,91
1229,101
1230,101
1231,101
1232,89
1233,89
1234,89
1235,89
1236,89
1237,89
1238,89
1239,89
1240,99
1241,99
1242,87
1243,98
1244,114
1245,99
1246,99
1247,92
1248,85
1249,85
1250,81
1251,81
1252,81
1253,81
1254,81
1255,81
1256,81
1257,81
1258,81
1259,81
1260,81
1261,81
1262,86
1263,86
1264,86
1265,86
1266,86
1267,86
1268,86
1269,86
1270,86
1271,86
1272,86
1273,86
1274,86
1275,86
1276,86
1277,86
1278,86
1279,86
1280,86
1281,86
1282,86
1283,86
1284,86
1285,86
1286,86
1287,86
1288,89
1289,89
1290,87
1291,87
1292,73
1293,73
1294,73
1295,73
1296,73
1297,73
1298,73
1299,73
1300,73
1301,87
1302,87
1303,87
1304,81
1305,73
1306,73
1307,73
1308,73
1309,73
1310,88
1311,88
1312,78
1313,78
1314,78
1315,78
1316,78
1317,78
1318,78
1319,78
1320,78
1321,78
1322,78
1323,78
1324,78
1325,78
1326,78
1327,78
1328,78
1329,78
1330,78
1331,78
1332,78
1333,78
1334,78
1335,78
1336,78
1337,89
1338,89
1339,80
1340,80
1341,80
1342,80
1343,80
1344,80
1345,80
1346,80
1347,80
1348,80
1349,80
1350,86
1351,86
1352,98
1353,98
1354,98
1355,99
1356,99
1357,86
1358,100
1359,100
1360,100
1361,89
1362,101
1363,101
1364,98
1365,96
1366,96
1367,96
1368,96
1369,96
1370,96
1371,96
1372,96
1373,96
1374,96
1375,108
1376,108
1377,108
1378,100
1379,96
1380,106
1381,106
1382,99
1383,99
1384,99
1385,99
1386,99
1387,99
1388,99
1389,99
1390,99
1391,99
1392,99
1393,101
1394,101
1395,89
1396,89
1397,89
1398,89
1399,89
1400,89
1401,89
1402,104
1403,104
1404,104
1405,90
1406,90
1407,90
1408,90
1409,104
1410,107
1411,98
1412,98
1413,93
1414,99
1415,95
1416,95
1417,95
1418,95
1419,95
1420,95
1421,95
1422,95
1423,95
1424,95
1425,95
1426,95
1427,95
1428,95
1429,95
1430,95
1431,95
1432,95
1433,95
1434,95
1435,95
1436,95
1437,95
1438,95
1439,95
1440,95
1441,95
1442,95
1443,95
1444,95
1445,95
1446,95
1447,95
1448,95
1449,95
1450,95
1451,95
1452,95
1453,95
1454,95
1455,95
1456,95
1457,95
1458,95
1459,95
1460,95
1461,95
1462,95
1463,95
1464,95
1465,95
1466,109
1467,109
1468,109
1469,99
1470,99
1471,92
1472,92
1473,92
1474,102
1475,102
1476,102
1477,100
1478,100
1479,100
1480,100
1481,100
1482,100
1483,100
1484,113
1485,113
1486,117
1487,104
1488,104
1489,94
1490,94
1491,94
1492,94
1493,94
1494,94
1495,94
1496,94
1497,94
1498,94
1499,94
1500,102
1501,102
1502,100
1503,100
1504,100
1505,100
1506,100
1507,100
1508,100
1509,100
1510,111
1511,111
1512,111
1513,101
1514,110
1515,110
1516,110
1517,106
1518,106
1519,106
1520,106
1521,106
1522,106
1523,106
1524,120
1525,120
1526,121
1527,121
1528,111
1529,111
1530,111
1531,111
1532,111
1533,111
1534,111
1535,111
1536,111
1537,111
1538,111
1539,111
1540,111
1541,111
1542,111
1543,111
1544,111
1545,111
1546,111
1547,111
1548,111
1549,111
1550,113
1551,113
1552,119
1553,109
1554,109
1555,105
1556,116
1557,116
1558,107
1559,100
1560,100
1561,100
1562,100
1563,100
1564,100
1565,100
1566,100
1567,100
1568,100
1569,100
1570,100
1571,107
1572,107
1573,115
1574,115
1575,115
