TimeStampSecs,NumIdleCores
0,251
1,241
2,236
3,228
4,228
5,200
6,200
7,188
8,179
9,167
10,146
11,146
12,135
13,131
14,121
15,113
16,101
17,90
18,86
19,79
20,79
21,79
22,79
23,79
24,79
25,79
26,79
27,79
28,79
29,79
30,79
31,79
32,79
33,79
34,79
35,79
36,79
37,79
38,79
39,79
40,79
41,79
42,79
43,79
44,79
45,79
46,79
47,79
48,79
49,79
50,79
51,79
52,79
53,79
54,79
55,79
56,79
57,79
58,79
59,79
60,79
61,79
62,79
63,79
64,79
65,79
66,79
67,79
68,79
69,79
70,79
71,79
72,79
73,79
74,79
75,79
76,79
77,79
78,79
79,79
80,79
81,79
82,79
83,79
84,79
85,79
86,79
87,79
88,79
89,79
90,79
91,79
92,79
93,79
94,79
95,79
96,79
97,79
98,79
99,79
100,79
101,79
102,79
103,79
104,79
105,79
106,79
107,79
108,79
109,79
110,79
111,79
112,79
113,79
114,79
115,79
116,79
117,79
118,79
119,79
120,79
121,79
122,93
123,93
124,93
125,95
126,95
127,86
128,86
129,86
130,86
131,86
132,86
133,86
134,86
135,86
136,86
137,86
138,86
139,86
140,86
141,86
142,110
143,110
144,95
145,90
146,90
147,97
148,93
149,93
150,85
151,85
152,97
153,97
154,88
155,82
156,82
157,82
158,93
159,93
160,82
161,82
162,82
163,82
164,82
165,93
166,93
167,93
168,84
169,84
170,84
171,84
172,84
173,94
174,94
175,94
176,90
177,84
178,84
179,84
180,93
181,103
182,103
183,102
184,102
185,96
186,87
187,87
188,87
189,87
190,87
191,87
192,87
193,87
194,87
195,87
196,87
197,87
198,95
199,95
200,95
201,86
202,86
203,86
204,86
205,86
206,86
207,86
208,86
209,86
210,86
211,86
212,94
213,94
214,86
215,86
216,86
217,86
218,86
219,86
220,86
221,86
222,86
223,86
224,86
225,86
226,86
227,86
228,86
229,86
230,86
231,86
232,86
233,86
234,86
235,86
236,93
237,93
238,93
239,93
240,93
241,93
242,93
243,93
244,93
245,93
246,93
247,93
248,93
249,93
250,93
251,97
252,97
253,112
254,97
255,109
256,94
257,98
258,84
259,84
260,84
261,84
262,84
263,84
264,84
265,84
266,84
267,84
268,84
269,84
270,84
271,84
272,84
273,84
274,84
275,84
276,84
277,84
278,84
279,84
280,84
281,84
282,84
283,84
284,84
285,84
286,84
287,84
288,84
289,84
290,84
291,84
292,84
293,84
294,84
295,84
296,84
297,84
298,89
299,89
300,80
301,89
302,89
303,78
304,78
305,78
306,89
307,89
308,84
309,84
310,89
311,89
312,76
313,76
314,76
315,76
316,76
317,76
318,76
319,76
320,76
321,76
322,76
323,76
324,76
325,76
326,76
327,76
328,76
329,76
330,76
331,76
332,76
333,76
334,76
335,85
336,85
337,73
338,73
339,73
340,73
341,73
342,81
343,81
344,85
345,95
346,95
347,90
348,79
349,73
