TimeStampSecs,NumIdleCores
0,251
1,241
2,241
3,236
4,228
5,214
6,200
7,188
8,179
9,167
10,155
11,146
12,135
13,131
14,121
15,113
16,101
17,90
18,86
19,79
20,67
21,58
22,43
23,38
24,33
25,29
26,21
27,12
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,20
121,20
122,23
123,14
124,14
125,10
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,19
138,19
139,19
140,9
141,3
142,27
143,27
144,18
145,30
146,21
147,13
148,13
149,13
150,13
151,25
152,25
153,10
154,10
155,10
156,10
157,10
158,21
159,33
160,18
161,29
162,15
163,15
164,6
165,16
166,16
167,5
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,19
184,19
185,19
186,6
187,6
188,6
189,6
190,6
191,6
192,15
193,15
194,15
195,12
196,12
197,15
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,10
207,10
208,18
209,18
210,18
211,16
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,18
225,18
226,4
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,7
268,22
269,33
270,18
271,18
272,5
273,5
274,20
275,20
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,6
288,6
289,6
290,20
291,20
292,8
293,8
294,8
295,14
296,14
297,5
298,5
299,5
300,14
301,14
302,14
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,10
314,21
315,21
316,21
317,12
318,34
319,30
320,39
321,39
322,25
323,20
324,20
325,20
326,7
327,7
328,7
329,7
330,7
331,7
332,7
333,7
334,7
335,7
336,7
337,16
338,16
339,28
340,17
341,22
342,14
343,9
344,14
345,7
346,7
347,1
348,1
349,1
