TimeStampSecs,NumIdleCores
0,62
1,60
2,57
3,50
4,50
5,46
6,46
7,40
8,34
9,30
10,25
11,24
12,24
13,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,24
36,24
37,24
38,24
39,24
40,24
41,31
42,31
43,24
44,20
45,20
46,20
47,20
48,20
49,26
50,26
51,32
52,26
53,23
54,20
55,20
56,14
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,17
71,17
72,17
73,17
74,14
75,14
76,14
77,14
78,14
79,14
80,21
81,21
82,14
83,17
84,17
85,14
86,17
87,16
88,16
89,16
90,16
91,16
92,16
93,16
94,22
95,22
96,20
97,20
98,20
99,20
100,26
101,26
102,19
103,19
104,19
105,19
106,23
107,22
108,22
109,22
110,22
111,22
112,22
113,22
114,22
115,22
116,22
117,22
118,22
119,22
120,29
121,24
122,26
123,28
124,22
125,22
126,22
127,22
128,22
129,22
130,22
131,22
132,22
133,22
134,25
135,27
136,23
137,23
138,20
139,20
140,27
141,21
142,21
143,21
144,21
145,21
146,21
147,21
148,21
149,21
150,21
151,21
152,21
153,21
154,21
155,21
156,21
157,24
158,24
159,23
160,23
161,23
162,23
163,23
164,23
165,23
166,23
167,23
168,26
169,23
170,23
171,23
172,23
173,23
174,30
175,29
176,29
177,34
178,33
179,33
180,33
181,33
182,33
183,33
184,33
185,33
186,33
187,43
188,39
189,39
190,39
191,39
192,39
193,39
194,39
195,39
196,39
197,39
198,39
199,39
200,39
201,39
202,39
203,39
204,39
205,39
206,39
207,39
208,39
209,39
210,39
211,39
212,39
213,39
214,39
215,39
216,39
217,41
218,37
219,37
220,37
221,37
222,37
223,40
224,40
225,38
226,38
227,38
228,38
229,38
230,38
231,38
232,38
233,38
234,38
235,38
236,38
237,38
238,38
239,38
240,38
241,39
242,39
243,37
244,37
245,39
246,38
247,38
248,39
249,33
250,33
251,26
252,29
253,27
254,27
255,27
256,27
257,29
258,22
259,22
260,22
261,22
262,22
263,22
264,22
265,22
266,22
267,22
268,22
269,22
270,22
271,22
272,22
273,22
274,22
275,22
276,22
277,22
278,22
279,22
280,22
281,22
282,26
283,26
284,25
285,25
286,25
287,32
288,32
289,26
290,26
291,33
292,33
293,34
294,34
295,41
296,41
297,41
298,41
299,41
300,41
301,41
302,41
303,41
304,41
305,41
306,41
307,43
308,43
309,43
310,45
311,45
312,45
313,45
314,45
315,45
316,45
317,45
318,45
319,45
320,45
321,45
322,45
323,46
324,46
325,46
326,46
327,46
328,46
329,46
330,46
331,52
332,52
333,52
334,52
335,52
336,52
337,52
338,52
339,52
340,52
341,52
342,53
343,53
344,53
345,53
346,55
347,55
348,55
349,55
350,55
351,55
352,55
353,55
354,55
355,55
356,55
357,55
358,55
359,55
360,55
361,55
362,55
363,55
364,57
365,57
366,57
367,57
368,57
369,57
370,57
371,57
372,59
373,59
374,59
375,59
376,59
377,59
378,59
379,59
380,59
381,59
382,59
383,59
384,59
385,59
386,59
387,59
388,59
389,59
390,59
391,59
392,59
393,60
394,60
395,60
396,60
397,60
398,60
399,60
400,60
401,60
402,60
403,60
404,60
405,60
406,60
407,60
408,60
409,60
410,61
411,61
412,61
413,62
414,62
415,62
416,62
417,62
418,62
419,62
420,62
421,62
422,62
423,62
424,62
425,62
426,62
427,62
428,62
429,62
430,62
431,62
432,62
433,62
434,62
435,62
436,62
437,62
438,62
439,62
440,62
441,62
442,62
443,62
444,62
445,62
446,62
447,62
448,62
449,62
450,62
451,62
452,62
453,62
454,62
455,62
456,62
457,62
458,62
459,62
460,62
461,62
462,62
463,62
464,62
465,62
466,62
467,62
468,62
469,62
470,62
471,62
472,62
473,62
474,62
475,62
476,62
477,62
478,62
479,63
480,63
481,63
482,63
483,63
484,63
485,63
486,63
487,63
488,63
489,63
490,63
491,63
492,63
493,63
494,63
495,63
496,63
497,63
498,63
499,63
500,63
501,63
502,63
503,63
504,63
505,63
506,63
507,63
508,63
509,63
510,63
511,63
512,63
513,63
514,63
515,63
516,63
