TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1715267508.7675395,1,22,0
1715267512.9355276,0,16,0
1715267517.096105,0,13,0
1715267521.255852,0,6,0
1715267525.4226189,0,6,0
1715267529.5834708,0,6,0
1715267533.751628,0,6,0
1715267537.9116132,0,0,0
1715267542.07951,0,0,0
1715267546.2374299,0,1,0
1715267550.4068396,1,10,0
1715267554.5739129,0,6,0
1715267558.7333686,0,5,0
1715267562.8933778,0,5,0
1715267567.0544698,0,6,0
1715267571.2169302,0,1,0
1715267575.382242,0,0,0
1715267579.5411563,0,0,0
1715267583.7082367,0,6,0
1715267587.8664613,1,11,0
1715267592.0276394,1,11,0
1715267596.1907067,1,11,0
1715267600.348864,2,19,0
1715267604.5105848,2,16,0
1715267608.6718676,3,24,0
1715267612.8295555,3,24,0
1715267616.9859781,3,24,0
1715267621.1456456,3,24,0
1715267625.3060045,3,24,0
1715267629.4644902,3,24,0
1715267633.6210337,3,24,0
1715267637.7934616,3,30,0
1715267641.950036,3,30,0
1715267646.1111183,3,30,0
1715267650.2735515,3,30,0
1715267654.4300938,3,30,0
1715267658.5909147,3,24,0
1715267662.7557058,3,24,0
1715267666.915631,3,24,0
