TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1714495614.7561436,2,25,0
1714495618.7636657,1,12,0
1714495622.7709117,1,12,0
1714495626.7748866,1,12,0
1714495630.778715,1,12,0
1714495634.783247,1,12,0
1714495638.7905686,1,12,0
1714495642.799198,1,12,0
1714495646.8080428,1,12,0
1714495650.8144593,1,12,0
1714495654.8224137,1,12,0
1714495658.82647,1,12,0
1714495662.831874,1,12,0
1714495666.838359,1,12,0
1714495670.8424819,1,12,0
1714495674.846502,1,12,0
1714495678.8516765,1,12,0
1714495682.8586051,1,12,0
1714495686.862735,1,12,0
1714495690.8700619,1,12,0
1714495694.8744082,1,12,0
1714495698.8797596,1,12,0
1714495702.8865523,1,12,0
1714495706.891233,1,12,0
1714495710.9056892,1,12,0
1714495714.9133737,1,12,0
1714495718.9196253,1,12,0
1714495722.9265683,1,12,0
1714495726.934011,1,12,0
1714495730.9417756,1,12,0
1714495734.9466665,1,12,0
1714495738.9548426,1,12,0
1714495742.9585354,1,12,0
1714495746.96354,1,12,0
1714495750.970485,0,12,0
1714495754.9746153,0,12,0
1714495758.9790475,0,12,0
1714495762.9818554,1,12,0
1714495766.987642,1,12,0
1714495770.994799,1,12,0
1714495775.0013907,1,12,0
1714495779.0077174,2,18,0
1714495783.016271,1,9,56
1714495787.022651,1,9,56
1714495791.0258353,1,9,56
1714495795.031479,1,9,56
1714495799.0383003,1,9,56
1714495803.0437653,1,9,56
1714495807.0507581,1,9,56
1714495811.0555663,1,9,56
1714495815.0625036,1,9,56
1714495819.067017,1,9,56
1714495823.073539,1,9,56
1714495827.079065,1,9,56
1714495831.081886,1,9,56
1714495835.0858157,1,9,56
1714495839.0906906,1,9,56
1714495843.094348,1,9,56
1714495847.0984166,1,9,56
1714495851.1035824,1,9,56
1714495855.1105254,1,9,56
1714495859.1149044,1,9,56
1714495863.118346,1,9,56
1714495867.1222494,1,9,56
1714495871.130707,1,9,56
1714495875.1351724,1,9,56
1714495879.1446927,2,21,0
1714495883.152715,2,21,0
1714495887.1596248,2,21,0
1714495891.166485,2,21,0
1714495895.1752162,2,21,0
1714495899.1843739,2,21,0
1714495903.1933188,2,21,0
1714495907.201861,2,21,0
1714495911.2075717,2,21,0
1714495915.2155163,2,21,0
1714495919.2245538,2,21,0
1714495923.2321496,2,21,0
1714495927.2410731,2,21,0
1714495931.2465713,2,21,0
1714495935.2516308,2,21,0
1714495939.2596262,2,21,0
1714495943.2668946,2,21,0
1714495947.2696757,2,21,0
1714495951.2771587,2,21,0
1714495955.2831998,2,27,0
1714495959.2918382,1,12,62
1714495963.2992456,1,12,62
1714495967.3070116,1,12,62
1714495971.3115344,1,12,62
1714495975.3193061,1,12,62
1714495979.3261583,1,12,62
1714495983.4002151,0,12,66
1714495987.4061563,0,12,66
1714495991.4116282,0,12,66
1714495995.4186494,0,12,66
1714495999.4235742,0,12,66
1714496003.4301386,0,12,66
1714496007.4364934,1,12,66
1714496011.4439127,1,12,66
1714496015.45212,1,12,66
1714496019.4580975,1,12,66
1714496023.4671004,1,12,66
1714496027.4743254,1,12,66
1714496031.4808285,1,12,66
1714496035.4875877,1,12,66
1714496039.4961731,1,12,66
1714496043.501821,1,12,66
1714496047.507638,1,12,66
1714496051.5145624,1,26,0
1714496055.5186472,1,18,8
1714496059.522725,1,18,8
1714496063.526413,1,18,8
1714496067.531874,1,18,8
1714496071.5395486,1,18,8
1714496075.5482137,1,18,8
1714496079.5556238,1,18,8
1714496083.5642753,1,18,8
1714496087.572027,1,18,8
1714496091.579251,1,18,8
1714496095.5879588,1,18,8
1714496099.5963893,1,18,8
1714496103.6048717,1,18,8
1714496107.6132898,1,20,8
1714496111.621975,1,20,8
1714496115.6305802,1,20,8
1714496119.637764,1,20,8
1714496123.6428018,1,20,8
1714496127.6468678,1,20,8
1714496131.6547866,1,20,8
1714496135.6596205,1,20,8
1714496139.6683216,1,20,8
1714496143.6757858,1,20,8
1714496147.681643,1,20,8
1714496151.6865404,1,20,8
1714496155.692464,1,20,8
1714496159.6987956,1,20,8
1714496163.7018418,1,20,8
1714496167.7071898,1,20,8
1714496171.7161636,1,20,8
1714496175.7244105,3,29,0
1714496179.7327287,1,14,56
1714496183.7383082,1,14,56
1714496187.7434053,1,14,56
1714496191.7505233,1,14,56
1714496195.7559993,1,14,56
1714496199.7626982,2,17,56
1714496203.7676203,2,17,56
1714496207.773569,2,17,56
1714496211.7793202,2,17,56
1714496215.7858076,2,17,56
1714496219.7909153,2,17,56
1714496223.7952473,2,17,56
1714496227.8019135,2,17,56
1714496231.8072076,2,17,56
1714496235.8140268,2,17,56
1714496239.822839,2,17,56
1714496243.826567,2,17,56
1714496247.8309543,2,17,56
1714496251.8391068,2,17,56
1714496255.8464537,2,17,56
1714496259.8521132,2,17,56
