TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1713936659.260586,3,30,0
1713936663.2675266,0,5,38
1713936667.2757936,0,5,38
1713936671.2834013,0,5,38
1713936675.2907348,0,5,38
1713936679.2960756,0,5,38
1713936683.3028355,0,5,38
1713936687.3081033,0,5,38
1713936691.3157172,0,5,38
1713936695.323106,0,5,38
1713936699.330821,0,5,38
1713936703.334826,0,5,38
1713936707.338444,0,5,38
1713936711.3436384,0,5,38
1713936715.3509681,0,5,38
1713936719.359128,0,5,38
1713936723.367772,0,5,38
1713936727.3745563,0,5,38
1713936731.3794317,0,5,38
1713936735.3884072,0,5,38
1713936739.393847,0,5,38
1713936743.3998063,0,5,38
1713936747.4059033,0,5,38
1713936751.4109995,0,5,38
1713936755.414984,0,5,38
1713936759.4220288,0,5,38
1713936763.430404,0,5,38
1713936767.4338396,0,5,38
1713936771.4393072,0,5,38
1713936775.4470277,0,7,22
1713936779.4550118,0,7,22
1713936783.4624093,0,7,22
1713936787.4693024,0,7,22
1713936791.4748783,0,7,22
1713936795.482694,0,7,22
1713936799.4877996,0,7,22
1713936803.4944837,0,7,22
1713936807.5025733,0,7,22
1713936811.5111825,0,7,22
1713936815.517926,0,7,22
1713936819.5226402,0,7,22
1713936823.5261755,0,7,22
1713936827.5308447,0,7,22
1713936831.5350535,0,7,22
1713936835.540774,1,14,28
1713936839.5464401,1,14,28
1713936843.555031,1,14,28
1713936847.5594597,1,20,28
1713936851.5665426,0,5,80
1713936855.5755577,0,5,80
1713936859.5839841,0,5,80
1713936863.5917897,0,5,80
1713936867.5990176,0,5,80
1713936871.6068912,0,5,80
1713936875.6144311,0,5,80
1713936879.6186128,0,5,80
1713936883.6228836,0,5,80
1713936887.62741,0,5,80
1713936891.6342444,0,5,80
1713936895.6432288,0,5,80
1713936899.6506314,0,5,80
1713936903.654686,1,15,56
1713936907.658128,1,15,56
1713936911.666612,1,15,56
1713936915.6706982,1,15,56
1713936919.6757698,1,15,56
1713936923.683891,1,15,56
1713936927.6928658,1,15,56
1713936931.697766,1,15,56
1713936935.701625,1,15,56
1713936939.7064903,0,9,56
1713936943.7112427,0,9,56
1713936947.7184975,0,9,56
1713936951.7227893,0,9,56
1713936955.726685,0,9,56
1713936959.733972,0,9,56
1713936963.738774,0,9,56
1713936967.7455707,0,9,56
1713936971.7504709,0,9,56
1713936975.7547534,0,9,56
1713936979.7579024,0,9,56
1713936983.7627802,0,9,56
1713936987.7681606,0,9,56
1713936991.7739587,0,9,56
1713936995.7791624,0,9,56
1713936999.7865796,0,9,56
1713937003.7919302,0,9,56
1713937007.7993064,0,9,56
1713937011.807249,0,9,56
1713937015.8145933,0,9,56
1713937019.8205352,0,9,56
1713937023.8274765,0,9,56
1713937027.836024,0,10,0
1713937031.8435752,0,10,0
1713937035.85072,0,10,0
1713937039.8546324,0,10,0
1713937043.8590627,0,10,0
1713937047.8669274,0,10,0
1713937051.8705785,0,10,0
1713937055.874487,0,10,0
1713937059.8785179,0,10,0
1713937063.882215,0,10,0
1713937067.8897338,0,10,0
1713937071.897164,0,10,0
1713937075.9051204,0,10,0
1713937079.9104066,0,10,0
1713937083.9140851,0,10,0
1713937087.9185634,0,10,0
1713937091.9225664,0,10,0
1713937095.927006,0,10,0
1713937099.930865,0,10,0
1713937103.9351308,0,10,0
1713937107.9433475,0,10,0
1713937111.9502482,0,10,0
1713937115.9540308,0,10,0
1713937119.959042,0,10,0
1713937123.9637055,0,10,0
1713937127.970598,0,10,0
1713937131.9746268,0,10,0
1713937135.9790044,0,10,0
1713937139.9824297,0,10,0
1713937143.9878783,0,10,0
1713937147.9947224,0,10,0
1713937152.0033295,0,6,0
1713937156.0101626,0,6,0
1713937160.014915,0,6,0
1713937164.0188408,0,6,0
1713937168.0224118,0,6,0
1713937172.0258958,0,6,0
1713937176.0303528,0,6,0
1713937180.0338702,0,7,40
1713937184.0386984,0,7,40
1713937188.0424302,0,7,40
1713937192.0480912,0,7,40
1713937196.0545666,0,7,40
1713937200.0587177,0,7,40
1713937204.0625784,0,7,40
1713937208.0667696,0,7,40
1713937212.0706332,0,7,40
1713937216.0744848,0,7,40
1713937220.0790381,0,7,40
1713937224.083002,0,7,40
1713937228.0867712,0,7,40
1713937232.0916257,0,7,40
1713937236.0979805,0,7,40
1713937240.104028,0,7,40
1713937244.1105254,0,7,40
1713937248.115858,0,7,40
1713937252.1227922,0,7,40
1713937256.1267955,0,7,40
1713937260.1326683,0,7,40
1713937264.1411853,0,7,40
1713937268.1489506,0,7,40
1713937272.1538377,0,7,40
1713937276.1623483,0,9,24
1713937280.1664898,1,9,32
1713937284.171516,1,9,32
1713937288.1803539,0,1,80
1713937292.1866443,0,1,80
1713937296.1922386,0,1,80
1713937300.2002423,0,1,80
1713937304.2070234,0,1,80
1713937308.2105088,0,1,80
1713937312.2162,0,1,80
1713937316.2229772,0,1,80
1713937320.2307944,0,1,80
1713937324.235665,0,1,80
1713937328.2440042,0,1,80
1713937332.2499685,0,1,80
1713937336.2586098,0,1,80
1713937340.26235,0,7,72
1713937344.2665749,0,7,72
1713937348.2700665,0,7,72
1713937352.2744334,0,7,72
1713937356.278837,0,7,72
1713937360.282882,0,7,72
1713937364.290358,0,7,72
1713937368.2943928,0,7,72
1713937372.2985919,0,7,72
1713937376.3045201,0,7,72
1713937380.3132715,0,11,40
1713937384.3196313,0,11,40
1713937388.3274674,0,11,40
1713937392.3348181,0,3,45
1713937396.3386524,0,3,45
1713937400.342892,0,3,45
1713937404.3469245,0,3,45
1713937408.351468,0,3,45
1713937412.3589444,0,3,45
1713937416.3662846,0,3,45
1713937420.3710515,0,3,45
1713937424.3743112,0,3,45
1713937428.379702,0,3,45
1713937432.386844,0,3,45
1713937436.3933237,0,3,45
1713937440.3999782,0,3,45
1713937444.4058518,0,3,45
1713937448.410552,0,3,45
1713937452.4140608,0,3,45
1713937456.4183512,0,3,45
1713937460.4260254,0,3,45
1713937464.4302428,0,3,45
1713937468.4347267,0,3,45
1713937472.438278,0,3,45
1713937476.4451728,0,3,45
1713937480.4510078,0,3,45
1713937484.4549725,0,3,45
1713937488.4580054,0,3,45
1713937492.4626763,0,3,45
1713937496.467024,0,3,45
1713937500.470466,0,3,45
1713937504.4779074,0,3,45
1713937508.482644,0,3,45
1713937512.4901462,0,4,37
1713937516.4976623,0,4,37
1713937520.5045226,0,4,37
1713937524.5130603,0,5,30
1713937528.5191958,0,5,30
1713937532.5263467,1,14,22
1713937536.531838,1,14,22
1713937540.5383658,1,14,22
1713937544.545794,1,14,22
1713937548.5530188,1,14,22
1713937552.5606658,1,14,22
1713937556.5679166,1,14,22
1713937560.5748374,1,14,22
1713937564.577904,1,14,22
1713937568.5839424,1,14,22
1713937572.59034,1,14,22
1713937576.5946102,1,14,22
1713937580.6023035,1,14,22
1713937584.6056263,1,14,22
1713937588.6140459,1,14,22
1713937592.6191137,1,14,22
1713937596.6267462,1,14,22
1713937600.6347625,1,14,22
1713937604.6425078,1,14,22
1713937608.653699,1,14,22
1713937612.658298,1,14,22
1713937616.6647809,1,14,22
1713937620.6698785,1,14,22
1713937624.6775148,1,14,22
1713937628.6826284,1,14,22
1713937632.6866224,1,14,22
1713937636.690441,1,14,22
1713937640.6941788,2,23,14
1713937644.6976514,0,11,46
1713937648.7043018,0,11,46
1713937652.7112083,0,11,46
1713937656.7179925,0,1,88
1713937660.7244663,0,1,88
1713937664.730686,0,1,88
1713937668.7344987,0,1,88
1713937672.738542,0,1,88
1713937676.7425025,0,1,88
1713937680.7504935,0,1,88
1713937684.7543917,0,1,88
1713937688.7585764,0,1,88
1713937692.7649407,0,1,88
1713937696.771941,0,1,88
1713937700.7786286,0,1,88
1713937704.7819967,0,1,88
1713937708.787681,0,1,88
1713937712.7944,0,1,88
1713937716.7997866,0,1,88
1713937720.8075125,0,1,88
1713937724.815016,0,1,88
1713937728.8187296,0,1,88
1713937732.826575,0,1,88
1713937736.830807,0,1,88
1713937740.835235,0,1,88
1713937744.842806,0,1,88
1713937748.8479965,1,10,32
1713937752.8568652,1,10,32
1713937756.862573,0,10,32
1713937760.8697662,0,10,32
1713937764.875501,0,10,32
1713937768.883494,1,10,40
1713937772.8923,1,10,40
1713937776.9026744,1,10,40
1713937780.9070065,1,10,40
1713937784.9145412,1,10,40
1713937788.9183164,1,10,40
1713937792.9232547,1,10,40
1713937796.931243,1,10,40
1713937800.9384215,1,10,40
1713937804.9434063,1,10,40
1713937808.9507544,1,10,40
1713937812.956272,1,10,40
1713937816.9655006,1,10,40
1713937820.971506,1,10,40
1713937824.9799492,1,10,40
1713937828.986412,1,10,40
1713937832.991014,1,10,40
1713937836.994549,1,10,40
1713937840.9988267,1,10,40
1713937845.0047576,1,10,40
1713937849.012154,1,10,40
1713937853.019863,1,10,40
1713937857.0275078,1,10,40
1713937861.0355747,2,22,8
1713937865.043637,2,22,8
1713937869.0498414,2,22,8
1713937873.0554981,2,22,8
1713937877.0638347,2,22,8
1713937881.0723484,2,22,8
1713937885.0796843,2,22,8
1713937889.086387,2,22,8
1713937893.0949352,2,22,8
1713937897.1032536,2,22,8
