TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1716287946.4886413,5,44,32
1716287950.6603742,0,14,88
1716287954.8245595,0,14,88
1716287958.9967997,0,14,88
1716287963.159508,0,14,88
1716287967.3353362,0,14,88
1716287971.52228,0,14,88
1716287975.6794362,0,14,88
1716287979.8414218,0,14,88
1716287984.0021014,0,14,88
1716287988.1708975,0,14,88
1716287992.3339674,0,14,88
1716287996.5037313,0,14,88
1716288000.6645713,0,14,88
1716288004.8221512,0,14,88
1716288008.9844155,0,14,88
1716288013.154862,0,14,88
1716288017.315621,0,14,88
1716288021.4770744,0,14,88
1716288025.6375206,0,14,88
1716288029.8212469,0,14,88
1716288033.9817433,0,14,88
1716288038.1582377,0,14,88
1716288042.3250077,0,14,88
1716288046.4887571,0,14,88
1716288050.6477122,0,14,88
1716288054.8351672,0,14,88
1716288059.013358,0,14,88
1716288063.169691,0,14,88
1716288067.3394923,0,14,88
1716288071.5202918,0,14,88
1716288075.681199,0,14,88
1716288079.8396223,0,14,88
1716288084.0136583,0,14,88
1716288088.1755717,0,14,88
1716288092.3344073,0,14,88
1716288096.495163,0,14,88
1716288100.6566541,0,14,88
1716288104.8166394,0,14,88
1716288108.989555,0,14,88
1716288113.1695478,0,14,88
1716288117.3394454,0,14,88
1716288121.509813,0,14,88
1716288125.6752698,0,14,88
1716288129.8356624,0,14,88
1716288134.0035956,0,14,88
1716288138.1798835,0,14,88
1716288142.3390539,0,14,88
1716288146.4987316,0,14,88
1716288150.6562886,0,14,88
1716288154.8138306,0,21,88
1716288158.978547,0,7,128
1716288163.149085,0,7,128
1716288167.3129373,0,7,128
1716288171.473975,0,7,128
1716288175.6435292,0,7,128
1716288179.809909,0,7,128
1716288183.976531,0,9,128
1716288188.1507576,0,9,128
1716288192.321214,0,9,128
1716288196.5057154,0,9,128
1716288200.67217,0,9,128
1716288204.838776,0,9,128
1716288208.9982345,0,9,128
1716288213.1588166,0,9,128
1716288217.325407,0,9,128
1716288221.4810095,0,9,128
1716288225.6470482,0,9,128
1716288229.8170288,0,9,128
1716288233.979183,0,9,128
1716288238.1396222,0,9,128
1716288242.3003595,0,7,144
1716288246.4577174,0,7,144
1716288250.6147735,0,7,144
1716288254.7766426,0,7,144
1716288258.9369383,0,7,144
1716288263.0990455,0,7,144
1716288267.282054,0,7,144
1716288271.449415,0,7,144
1716288275.6034033,0,7,144
1716288279.7771497,0,7,144
1716288283.962225,1,19,112
1716288288.1218507,1,19,112
1716288292.279725,1,19,112
1716288296.4394386,1,19,112
1716288300.6135995,1,19,112
1716288304.7731342,1,19,112
1716288308.932196,1,19,112
1716288313.1010702,1,19,112
1716288317.2567332,1,19,112
1716288321.418696,1,19,112
1716288325.597946,1,19,112
1716288329.7598748,1,19,112
1716288333.9235725,1,19,112
1716288338.0810454,1,19,112
1716288342.239483,1,19,112
1716288346.4020987,1,19,112
1716288350.5624695,1,19,112
1716288354.7281432,1,19,112
1716288358.8891985,1,19,112
1716288363.0485227,1,19,112
1716288367.2089503,1,19,112
1716288371.3682444,1,19,112
1716288375.5302618,1,19,112
1716288379.6922984,1,19,112
1716288383.8593123,1,19,112
1716288388.020332,1,19,112
1716288392.1776264,1,19,112
1716288396.3342745,1,19,112
1716288400.497001,0,15,144
1716288404.667039,0,15,144
1716288408.8278391,0,15,144
1716288412.9861574,0,15,144
1716288417.1455019,0,15,144
1716288421.3072975,0,15,144
1716288425.5003896,0,15,144
1716288429.6695485,0,15,144
1716288433.842026,0,15,144
1716288438.0222175,0,15,144
1716288442.1819243,0,15,144
1716288446.3403068,0,15,144
1716288450.510482,0,13,160
1716288454.6879396,0,13,160
1716288458.8560102,0,13,160
1716288463.0195901,0,13,160
1716288467.1852303,0,13,160
1716288471.3427665,0,13,160
1716288475.5182152,1,18,160
1716288479.6790733,0,8,160
1716288483.8531904,0,8,160
1716288488.009638,0,8,160
1716288492.171197,0,8,160
1716288496.3390586,0,8,160
1716288500.499742,0,8,160
1716288504.6620312,0,8,160
1716288508.8230567,0,8,160
1716288512.9908173,0,8,160
1716288517.1506848,0,8,160
1716288521.3179135,0,8,160
1716288525.4927413,0,8,160
1716288529.6528525,0,8,160
1716288533.8296402,0,8,160
1716288537.9962683,0,8,160
1716288542.1735373,0,8,160
1716288546.3305593,0,8,160
1716288550.4943578,0,8,160
1716288554.681434,0,8,160
1716288558.8626842,0,8,160
1716288563.0318801,0,8,160
1716288567.1884246,0,8,160
1716288571.348704,0,8,160
1716288575.5200582,0,8,160
1716288579.6767414,0,8,160
1716288583.8367841,0,8,160
1716288588.0008128,0,8,160
1716288592.1664262,0,8,160
1716288596.338461,0,8,160
1716288600.4996855,0,8,160
1716288604.65771,0,8,160
1716288608.8243213,0,8,160
1716288613.0043402,0,8,160
1716288617.1725514,0,8,160
1716288621.3397903,0,8,160
1716288625.4999619,0,8,160
1716288629.6594083,0,8,160
1716288633.8202543,0,8,160
1716288637.9759305,0,8,160
1716288642.1494107,0,8,160
1716288646.355191,0,8,160
1716288650.5131016,0,8,160
1716288654.6734805,1,17,104
1716288658.8302016,1,17,104
1716288663.0135021,1,17,104
1716288667.1794486,1,17,104
1716288671.3609295,1,17,104
1716288675.5167232,1,17,104
1716288679.6725426,1,17,104
1716288683.8364727,0,6,144
1716288688.0015192,0,6,144
1716288692.1667979,0,6,144
1716288696.3286576,0,6,144
1716288700.4889219,0,6,144
1716288704.6585526,0,6,144
1716288708.8537211,0,6,144
1716288713.0122929,0,6,144
1716288717.168247,0,6,144
1716288721.3270674,0,6,144
1716288725.4913325,0,6,144
1716288729.6503136,0,6,144
1716288733.8241131,0,6,144
1716288737.9927738,0,6,144
1716288742.1625767,0,6,144
1716288746.3332925,0,6,144
1716288750.5024827,0,6,144
1716288754.6724918,0,6,144
1716288758.8346756,0,6,144
1716288763.0047584,0,6,144
1716288767.1843789,0,6,144
1716288771.3452165,0,6,144
1716288775.511991,0,6,144
1716288779.671758,0,6,144
1716288783.8315809,0,6,144
1716288787.9915757,0,6,144
1716288792.1685963,0,6,144
1716288796.3474798,0,6,144
1716288800.5057528,0,6,144
1716288804.6652997,0,6,144
1716288808.8523412,0,6,144
1716288813.0096138,0,10,112
1716288817.1640985,0,10,112
1716288821.3283205,0,10,112
1716288825.5027359,0,10,112
1716288829.6893325,0,10,112
1716288833.8503928,0,10,112
1716288838.0365741,0,10,112
1716288842.2010975,0,10,112
1716288846.3769374,0,10,112
1716288850.5374386,0,10,112
1716288854.7077794,0,10,112
1716288858.8846543,0,10,112
1716288863.0422478,1,19,56
1716288867.2023122,0,13,56
1716288871.376117,0,13,56
