TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1713272887.0793204,4,41,56
1713272891.2515576,0,10,80
1713272895.4155078,0,3,86
1713272899.5746524,0,3,86
1713272903.7636943,0,3,86
1713272907.932959,0,3,86
1713272912.0919778,0,3,86
1713272916.2557309,0,3,86
1713272920.4173877,0,3,86
1713272924.5887978,0,3,86
1713272928.7536228,0,3,86
1713272932.9193566,0,3,86
1713272937.0919383,0,3,86
1713272941.2563002,0,3,86
1713272945.414236,0,3,86
1713272949.5707543,0,3,86
1713272953.727068,0,3,86
1713272957.8950672,0,3,86
1713272962.0681727,0,3,86
1713272966.2377305,0,3,86
1713272970.409717,0,3,86
1713272974.5683904,0,3,86
1713272978.7278001,0,3,86
1713272982.8897781,0,3,86
1713272987.047439,0,3,86
1713272991.2150977,0,3,86
1713272995.3785303,0,3,86
1713272999.5383322,0,3,86
1713273003.697869,0,3,86
1713273007.855066,2,18,30
1713273012.0103045,0,8,30
1713273016.1718698,0,8,30
1713273020.3308523,0,8,30
1713273024.5198073,0,8,30
1713273028.680975,0,8,30
1713273032.8590002,0,8,30
1713273037.031787,0,8,30
1713273041.1971972,0,8,30
1713273045.3552456,1,19,6
1713273049.516136,0,10,14
1713273053.6795642,0,10,14
1713273057.8389735,0,10,14
1713273062.0003984,0,10,14
1713273066.1636438,0,10,14
1713273070.3344188,0,10,14
1713273074.5075092,0,10,14
1713273078.6768637,0,10,14
1713273082.845011,0,10,14
1713273087.0029185,0,10,14
1713273091.1636465,0,10,14
1713273095.3361046,0,10,14
1713273099.4956148,0,5,60
1713273103.6705906,0,1,63
1713273107.829313,0,1,63
1713273112.011838,0,1,63
1713273116.1775286,0,1,63
1713273120.3558323,0,1,63
1713273124.5268464,0,1,63
1713273128.704877,0,1,63
1713273132.8744798,0,1,63
1713273137.0292134,0,1,63
1713273141.2256958,0,1,63
1713273145.3936028,0,1,63
1713273149.5583086,0,1,63
1713273153.7185392,0,7,63
1713273157.8841383,0,7,57
1713273162.0446286,0,7,57
1713273166.201579,0,7,57
1713273170.3653517,0,7,57
1713273174.5368304,0,7,57
1713273178.6989827,0,7,57
1713273182.8812768,0,7,57
1713273187.048609,0,7,57
1713273191.2073941,0,7,57
1713273195.3840566,0,7,57
1713273199.5522747,0,7,57
1713273203.7110047,0,7,57
1713273207.8851366,0,7,57
1713273212.055922,0,7,57
1713273216.2242703,0,7,57
1713273220.3893955,0,7,57
1713273224.5669,0,7,57
1713273228.7482262,0,7,57
1713273232.9118598,0,4,81
1713273237.0711575,1,17,41
1713273241.234768,0,7,57
1713273245.3992026,0,9,51
1713273249.5629961,0,6,51
1713273253.737305,0,6,51
1713273257.8949115,0,6,51
1713273262.0619655,0,6,51
1713273266.2332933,0,6,51
1713273270.4051528,0,6,51
1713273274.5633676,0,6,51
1713273278.7255268,0,6,51
1713273282.8905149,0,6,51
1713273287.052876,0,6,51
1713273291.2104084,0,6,51
1713273295.3679407,0,6,51
1713273299.5407667,0,6,51
1713273303.7015953,0,6,51
1713273307.866723,0,6,51
1713273312.0235353,0,6,51
1713273316.1867645,0,6,51
1713273320.3636415,0,6,51
1713273324.525989,0,6,51
1713273328.6840768,0,11,51
1713273332.8456287,0,11,51
