TimeStampSecs,NumIdleVms,NumIdleCpus,NumCrossVmLinks
1713275408.0376313,28,234,48
1713275412.195789,22,209,80
1713275416.3580985,15,173,160
1713275420.5250392,9,144,192
1713275424.6833553,3,116,232
1713275428.8450882,0,77,322
1713275433.0058355,0,45,419
1713275437.162707,0,9,522
1713275441.327476,0,9,522
1713275445.487401,0,9,522
1713275449.6480231,0,9,522
1713275453.8092098,0,9,522
1713275457.9786227,0,9,522
1713275462.1406183,0,9,522
1713275466.3012698,0,9,522
1713275470.4633877,0,9,522
1713275474.6266341,0,9,522
1713275478.7873814,0,9,522
1713275482.9497237,0,9,522
1713275487.1141162,0,9,522
1713275491.2709472,0,9,522
1713275495.4274833,0,9,522
1713275499.5900714,0,9,522
1713275503.7476876,0,9,522
1713275507.9106846,0,9,522
1713275512.069592,0,9,522
1713275516.2296083,0,9,522
1713275520.402891,0,9,522
1713275524.5611181,0,9,522
1713275528.7209058,0,9,522
1713275532.8795235,0,9,522
1713275537.0396583,0,9,522
1713275541.200755,0,9,522
1713275545.3619232,0,9,522
1713275549.5284934,0,8,476
1713275553.6973279,0,8,476
1713275557.856697,1,22,428
1713275562.0160146,0,11,461
1713275566.1767418,0,11,461
1713275570.3427017,0,11,462
1713275574.5078516,0,5,456
1713275578.6676297,0,5,456
1713275582.8311756,1,16,432
1713275586.9968536,0,1,454
1713275591.1564672,0,4,448
1713275595.3202717,0,4,448
1713275599.482002,0,4,448
1713275603.6409364,0,4,448
1713275607.8094058,0,4,448
1713275611.9710515,0,0,488
1713275616.130039,0,9,470
1713275620.2908318,0,6,491
1713275624.4522665,0,6,491
1713275628.613825,0,6,491
1713275632.7750566,0,6,491
1713275636.9379666,0,6,491
1713275641.1007822,0,6,491
1713275645.267558,0,6,491
1713275649.4276268,0,4,507
1713275653.5877116,0,4,507
1713275657.7501523,0,4,507
1713275661.913243,0,4,507
1713275666.082923,0,4,507
1713275670.2432063,0,4,507
1713275674.4057803,0,4,507
1713275678.5666683,0,0,515
1713275682.7270255,0,0,515
1713275686.884833,0,7,500
1713275691.046463,0,11,468
1713275695.207472,0,11,468
1713275699.378023,0,1,500
1713275703.54786,1,16,448
1713275707.7088084,0,13,464
1713275711.8705094,0,8,468
1713275716.0306826,0,5,501
1713275720.2012265,0,5,501
1713275724.3634107,0,5,501
1713275728.5330105,0,5,501
1713275732.6930552,0,7,485
1713275736.851019,0,3,529
1713275741.01001,0,3,529
1713275745.1748939,1,19,503
1713275749.3335042,0,17,505
1713275753.4974163,0,2,524
1713275757.6629739,1,13,512
1713275761.8241408,0,6,564
1713275765.9866395,0,18,523
1713275770.1430814,0,0,605
1713275774.3065526,0,0,605
1713275778.4688046,0,3,602
1713275782.642981,0,3,602
1713275786.8026068,0,1,614
1713275790.9636831,0,1,614
1713275795.1277502,0,1,614
1713275799.2909138,0,5,614
1713275803.4591339,0,5,614
1713275807.6214972,0,5,614
1713275811.7887874,0,5,614
1713275815.9484081,0,5,614
1713275820.1099486,0,5,614
1713275824.2700033,0,3,614
1713275828.43252,0,3,614
1713275832.6111116,1,17,561
1713275836.7816522,0,8,607
1713275840.940266,1,17,574
1713275845.1083546,0,4,586
1713275849.2697132,0,4,586
1713275853.4378395,0,4,586
1713275857.6070318,0,15,541
1713275861.7648325,0,3,561
1713275865.9284017,0,22,436
1713275870.0886607,0,9,497
